ABS_FUNCTION,ABSFNC
FACE_SHAPE_REPRESENTATION_RELATIONSHIP,FSRR
FACE_SURFACE,FCSRF
FACETED_BREP,FCTBR
FACETED_BREP_SHAPE_REPRESENTATION,FBSR
FACETED_PRIMITIVE,FCTPRM
FACING_TURNING_OPERATION,FCTROP
FEATURE_COMPONENT_DEFINITION,FTCMDF
FEATURE_COMPONENT_RELATIONSHIP,FTCMRL
FEATURE_DEFINITION,FTRDFN
FEATURE_DEFINITION_WITH_CONNECTION_AREA,FDWCA
FEATURE_FOR_DATUM_TARGET_RELATIONSHIP,FFDTR
FEATURE_PATTERN,FTRPTT
FILL_AREA_STYLE,FLARST
FILL_AREA_STYLE_COLOUR,FASC
FILL_AREA_STYLE_HATCHING,FASH
FILL_AREA_STYLE_TILE_COLOURED_REGION,FASTCR
FILL_AREA_STYLE_TILE_CURVE_WITH_STYLE,FASTCW
FILL_AREA_STYLE_TILE_SYMBOL_WITH_STYLE,FASTSW
FILL_AREA_STYLE_TILES,FAST
FILLET,FILLET
FINAL_SOLUTION,FNLSLT
FINITE_FUNCTION,FNTFNC
FINITE_INTEGER_INTERVAL,FNININ
FINITE_REAL_INTERVAL,FNRLIN
FINITE_SPACE,FNTSPC
FIXED_REFERENCE_SWEPT_SURFACE,FRSS
FLAT_FACE,FLTFC
FLATNESS_TOLERANCE,FLTTLR
FORCE_MEASURE_WITH_UNIT,FMWU
FORCE_UNIT,FRCUNT
FORMAT_FUNCTION,FRMFNC
FOUNDED_ITEM,FNDITM
FREE_VARIABLE_SEMANTICS,FRVRSM
FREEFORM_MILLING_OPERATION,FRMLOP
FREEFORM_MILLING_STRATEGY,FRMLST
FREEFORM_MILLING_TOLERANCE_REPRESENTATION,FMTR
FREQUENCY_MEASURE_WITH_UNIT,FMW0
FREQUENCY_UNIT,FRQUNT
FULLY_CONSTRAINED_PAIR,FLCNPR
FUNCTION_APPLICATION,FNCAPP
FUNCTION_SPACE,FNCSPC
FUNCTIONAL_BREAKDOWN_CONTEXT,FNBRCN
FUNCTIONAL_ELEMENT_USAGE,FNELUS
FUNCTIONALLY_DEFINED_TRANSFORMATION,FNDFTR
GEAR,GEAR
GEAR_PAIR,GRPR
GEAR_PAIR_VALUE,GRPRVL
GEAR_PAIR_WITH_RANGE,GPWR
GENERAL_DATUM_REFERENCE,GNDTRF
GENERAL_FEATURE,GNRFTR
GENERAL_LINEAR_FUNCTION,GNLNFN
GENERAL_MATERIAL_PROPERTY,GNMTPR
GENERAL_PROPERTY,GNRPRP
GENERAL_PROPERTY_ASSOCIATION,GNPRAS
GENERAL_PROPERTY_RELATIONSHIP,GNPRRL
GENERIC_EXPRESSION,GNREXP
GENERIC_LITERAL,GNRLTR
GENERIC_PRODUCT_DEFINITION_REFERENCE,GPDR
GENERIC_VARIABLE,GNRVRB
GEOMETRIC_ALIGNMENT,GMTALG
GEOMETRIC_CONTACT,GMTCNT
GEOMETRIC_CURVE_SET,GMCRST
GEOMETRIC_INTERSECTION,GMTINT
GEOMETRIC_ITEM_SPECIFIC_USAGE,GISU
GEOMETRIC_MODEL_ELEMENT_RELATIONSHIP,GMER
GEOMETRIC_REPRESENTATION_CONTEXT,GMRPCN
GEOMETRIC_REPRESENTATION_CONTEXT_WITH_PARAMETER,GRCWP
GEOMETRIC_REPRESENTATION_ITEM,GMRPIT
GEOMETRIC_SET,GMTST
GEOMETRIC_TOLERANCE,GMTTLR
GEOMETRIC_TOLERANCE_AUXILIARY_CLASSIFICATION,GTAC
GEOMETRIC_TOLERANCE_RELATIONSHIP,GMTLRL
GEOMETRIC_TOLERANCE_WITH_DATUM_REFERENCE,GTWDR
GEOMETRIC_TOLERANCE_WITH_DEFINED_AREA_UNIT,GTWDAU
GEOMETRIC_TOLERANCE_WITH_DEFINED_UNIT,GTWDU
GEOMETRIC_TOLERANCE_WITH_MAXIMUM_TOLERANCE,GTWMT
GEOMETRIC_TOLERANCE_WITH_MODIFIERS,GTWM
GEOMETRICAL_TOLERANCE_CALLOUT,GMTLCL
GEOMETRICALLY_BOUNDED_SURFACE_SHAPE_REPRESENTATION,GBSSR
GEOMETRICALLY_BOUNDED_WIREFRAME_SHAPE_REPRESENTATION,GBWSR
GLOBAL_UNCERTAINTY_ASSIGNED_CONTEXT,GC
GLOBAL_UNIT_ASSIGNED_CONTEXT,GUAC
GPS_FILTER,GPSFLT
GPS_FILTRATION_SPECIFICATION,GPFLSP
GROOVING_TURNING_OPERATION,GRTROP
GROUP,GROUP
GROUP_ASSIGNMENT,GRPASS
GROUP_RELATIONSHIP,GRPRLT
HALF_SPACE_SOLID,HLSPSL
HARDNESS_REPRESENTATION,HRDRPR
HEXAHEDRON_VOLUME,HXHVLM
HIDDEN_ELEMENT_OVER_RIDING_STYLED_ITEM,HEORSI
HIGH_ORDER_KINEMATIC_PAIR,HOKP
HOLE_BOTTOM,HLBTT
HOMOGENEOUS_LINEAR_FUNCTION,HMLNFN
HOMOKINETIC_PAIR,HMKPR
HYPERBOLA,HYPRBL
ID_ATTRIBUTE,IDATT
IDENTIFICATION_ASSIGNMENT,IDNASS
IDENTIFICATION_ROLE,IDNRL
IDRM_CLASSIFICATION_ASSIGNMENT,IDCLAS
ILLUMINANCE_MEASURE_WITH_UNIT,IMWU
ILLUMINANCE_UNIT,ILLUNT
IMPORTED_CURVE_FUNCTION,IMCRFN
IMPORTED_POINT_FUNCTION,IMPNFN
IMPORTED_SURFACE_FUNCTION,IMSRFN
IMPORTED_VOLUME_FUNCTION,IMVLFN
INCLUDED_TEXT_BLOCK,INTXBL
INCLUSION_PRODUCT_CONCEPT_FEATURE,IPCF
INDEX_EXPRESSION,INDEXP
INDUCTANCE_MEASURE_WITH_UNIT,IMW0
INDUCTANCE_UNIT,INDUNT
INFORMATION_RIGHT,INFRGH
INFORMATION_USAGE_RIGHT,INUSRG
INSTANCE_USAGE_CONTEXT_ASSIGNMENT,IUCA
INSTANCED_FEATURE,INSFTR
INT_LITERAL,INTLTR
INT_NUMERIC_VARIABLE,INNMVR
INT_VALUE_FUNCTION,INVLFN
INTEGER_DEFINED_FUNCTION,INDFFN
INTEGER_INTERVAL_FROM_MIN,IIFM
INTEGER_INTERVAL_TO_MAX,IITM
INTEGER_REPRESENTATION_ITEM,INRPIT
INTEGER_TUPLE_LITERAL,INTPLT
INTERPOLATED_CONFIGURATION_REPRESENTATION,INC0
INTERPOLATED_CONFIGURATION_SEGMENT,INCNSG
INTERPOLATED_CONFIGURATION_SEQUENCE,INCNSQ
INTERSECTION_CURVE,INTCRV
INTERVAL_EXPRESSION,INTEXP
INVISIBILITY,INVSBL
ITEM_DEFINED_TRANSFORMATION,ITDFTR
ITEM_IDENTIFIED_REPRESENTATION_USAGE,IIRU
ITEM_LINK_MOTION_RELATIONSHIP,ILMR
KINEMATIC_ANALYSIS_CONSISTENCY,KNANCN
KINEMATIC_ANALYSIS_RESULT,KNANRS
KINEMATIC_CONTROL,KNMCNT
KINEMATIC_JOINT,KNMJNT
KINEMATIC_LINK,KNMLNK
KINEMATIC_LINK_REPRESENTATION,KNLNRP
KINEMATIC_LINK_REPRESENTATION_ASSOCIATION,KLRA
KINEMATIC_LOOP,KNMLP
KINEMATIC_PAIR,KNMPR
KINEMATIC_PATH,KNMPTH
KINEMATIC_PATH_DEFINED_BY_CURVES,KPDBC
KINEMATIC_PATH_DEFINED_BY_NODES,KPDBN
KINEMATIC_PATH_SEGMENT,KNPTSG
KINEMATIC_PROPERTY_DEFINITION_REPRESENTATION,KPDR
KINEMATIC_PROPERTY_MECHANISM_REPRESENTATION,KPMR
KINEMATIC_PROPERTY_TOPOLOGY_REPRESENTATION,KPTR
KINEMATIC_TOPOLOGY_DIRECTED_STRUCTURE,KTDS
KINEMATIC_TOPOLOGY_NETWORK_STRUCTURE,KTNS
KINEMATIC_TOPOLOGY_STRUCTURE,KNTPST
KINEMATIC_TOPOLOGY_SUBSTRUCTURE,KNTPSB
KINEMATIC_TOPOLOGY_TREE_STRUCTURE,KTTS
KNOWN_SOURCE,KNWSRC
KNURLING_TURNING_OPERATION,KNTROP
LANGUAGE,LNGG
LEADER_CURVE,LDRCRV
LEADER_DIRECTED_CALLOUT,LDDRCL
LEADER_DIRECTED_DIMENSION,LDDRDM
LEADER_TERMINATOR,LDRTRM
LENGTH_FUNCTION,LNGFNC
LENGTH_MEASURE_WITH_UNIT,LMWU
LENGTH_UNIT,LNGUNT
LIGHT_SOURCE,LGHSRC
LIGHT_SOURCE_AMBIENT,LGSRAM
LIGHT_SOURCE_DIRECTIONAL,LGSRDR
LIGHT_SOURCE_POSITIONAL,LGSRPS
LIGHT_SOURCE_SPOT,LGSRSP
LIKE_EXPRESSION,LKEXP
LIMITS_AND_FITS,LMANFT
LINE,LINE
LINE_PROFILE_TOLERANCE,LNP0
LINEAR_DIMENSION,LNRDMN
LINEAR_FLEXIBLE_AND_PINION_PAIR,LFAPP
LINEAR_FLEXIBLE_AND_PLANAR_CURVE_PAIR,LFAPCP
LINEAR_FLEXIBLE_LINK_REPRESENTATION,LFLR
LINEAR_PATH,LNRPTH
LINEAR_PROFILE,LNRPRF
LINEARIZED_TABLE_FUNCTION,LNTBFN
LINK_MOTION_RELATIONSHIP,LNMTRL
LINK_MOTION_REPRESENTATION_ALONG_PATH,LMRAP
LINK_MOTION_TRANSFORMATION,LNMTTR
LISTED_COMPLEX_NUMBER_DATA,LCND
LISTED_DATA,LSTDT
LISTED_INTEGER_DATA,LSINDT
LISTED_LOGICAL_DATA,LSLGDT
LISTED_PRODUCT_SPACE,LSPRSP
LISTED_REAL_DATA,LSRLDT
LISTED_STRING_DATA,LSSTDT
LITERAL_NUMBER,LTRNMB
LOCAL_B_SPLINE,LCBSP
LOCAL_TIME,LCLTM
LOCALLY_REFINED_SPLINE_CURVE,LRSC
LOCALLY_REFINED_SPLINE_SURFACE,LRSS
LOCALLY_REFINED_SPLINE_VOLUME,LRSV
LOCATION_SHAPE_REPRESENTATION,LCSHRP
LOG10_FUNCTION,LG1FNC
LOG2_FUNCTION,LG2FNC
LOG_FUNCTION,LGFNC
LOGICAL_LITERAL,LGCLTR
LOGICAL_REPRESENTATION_ITEM,LGRPIT
LOOP,LOOP
LOSS_TANGENT_MEASURE_WITH_UNIT,LTMWU
LOT_EFFECTIVITY,LTEFF
LOW_ORDER_KINEMATIC_PAIR,LOKP
LOW_ORDER_KINEMATIC_PAIR_VALUE,LOKPV
LOW_ORDER_KINEMATIC_PAIR_WITH_MOTION_COUPLING,LOKPWM
LOW_ORDER_KINEMATIC_PAIR_WITH_RANGE,LOKPWR
LUMINOUS_FLUX_MEASURE_WITH_UNIT,LFMWU
LUMINOUS_FLUX_UNIT,LMFLUN
LUMINOUS_INTENSITY_MEASURE_WITH_UNIT,LIMWU
LUMINOUS_INTENSITY_UNIT,LMINUN
MACHINING_ADAPTIVE_CONTROL_RELATIONSHIP,MACR
MACHINING_APPROACH_RETRACT_STRATEGY,MARS
MACHINING_CUTTING_COMPONENT,MCCTCM
MACHINING_CUTTING_CORNER_REPRESENTATION,MCCR
MACHINING_DWELL_TIME_REPRESENTATION,MDTR
MACHINING_EXECUTION_RESOURCE,MCEXRS
MACHINING_FEATURE_PROCESS,MCFTPR
MACHINING_FEATURE_RELATIONSHIP,MCFTRL
MACHINING_FEATURE_SEQUENCE_RELATIONSHIP,MFSR
MACHINING_FEED_SPEED_REPRESENTATION,MFS0
MACHINING_FINAL_FEATURE_RELATIONSHIP,MFF0
MACHINING_FIXTURE_USAGE,MCFXUS
MACHINING_FUNCTIONS,MCHFNC
MACHINING_FUNCTIONS_RELATIONSHIP,MCFNRL
MACHINING_MACHINE_USAGE,MCMCUS
MACHINING_NC_FUNCTION,MCNCFN
MACHINING_OFFSET_VECTOR_REPRESENTATION,MOVR
MACHINING_OPERATION,MCHOPR
MACHINING_OPERATION_RELATIONSHIP,MCOPRL
MACHINING_OPERATOR_INSTRUCTION,MCOPIN
MACHINING_OPERATOR_INSTRUCTION_RELATIONSHIP,MOI0
MACHINING_PROCESS_BODY_RELATIONSHIP,MPBR
MACHINING_PROCESS_BRANCH_RELATIONSHIP,MPB0
MACHINING_PROCESS_CONCURRENT_RELATIONSHIP,MPCR
MACHINING_PROCESS_EXECUTABLE,MCPREX
MACHINING_PROCESS_MODEL,MCPRMD
MACHINING_PROCESS_MODEL_RELATIONSHIP,MPMR
MACHINING_PROCESS_PROPERTY,MCPRPR
MACHINING_PROCESS_SEQUENCE_RELATIONSHIP,MPSR
MACHINING_PROJECT,MCHPRJ
MACHINING_PROJECT_WORKPIECE_RELATIONSHIP,MPWR
MACHINING_RAPID_MOVEMENT,MCRPMV
MACHINING_SETUP,MCH1
MACHINING_SETUP_WORKPIECE_RELATIONSHIP,MSW0
MACHINING_SPINDLE_SPEED_REPRESENTATION,MSS0
MACHINING_STRATEGY,MCHSTR
MACHINING_STRATEGY_RELATIONSHIP,MCSTRL
MACHINING_TECHNOLOGY,MCHTCH
MACHINING_TECHNOLOGY_RELATIONSHIP,MCTCRL
MACHINING_TOOL,MCHTL
MACHINING_TOOL_BODY_REPRESENTATION,MTBR
MACHINING_TOOL_DIRECTION_REPRESENTATION,MTD0
MACHINING_TOOL_USAGE,MCTLUS
MACHINING_TOOLPATH,MCHTLP
MACHINING_TOOLPATH_SEQUENCE_RELATIONSHIP,MTSR
MACHINING_TOOLPATH_SPEED_PROFILE_REPRESENTATION,MTSPR
MACHINING_TOUCH_PROBING,MCTCPR
MACHINING_TWIN_RELATIONSHIP,MCTWRL
MACHINING_USAGE_RELATIONSHIP,MCUSRL
MACHINING_WORKINGSTEP,MCHWRK
MACHINING_WORKPLAN,MCH0
MAGNETIC_FLUX_DENSITY_MEASURE_WITH_UNIT,MFDMWU
MAGNETIC_FLUX_DENSITY_UNIT,MFDU
MAGNETIC_FLUX_MEASURE_WITH_UNIT,MFMWU
MAGNETIC_FLUX_UNIT,MGFLUN
MAKE_FROM_USAGE_OPTION,MFUO
MANIFOLD_SOLID_BREP,MNSLBR
MANIFOLD_SUBSURFACE_SHAPE_REPRESENTATION,MSS1
MANIFOLD_SURFACE_SHAPE_REPRESENTATION,MSSR
MAPPED_ITEM,MPPITM
MARKING,MRKNG
MASS_MEASURE_WITH_UNIT,MMWU
MASS_UNIT,MSSUNT
MATERIAL_DESIGNATION,MTRDSG
MATERIAL_DESIGNATION_CHARACTERIZATION,MTDSCH
MATERIAL_PROPERTY,MTRPRP
MATERIAL_PROPERTY_REPRESENTATION,MTPRRP
MATHEMATICAL_DESCRIPTION,MTHDSC
MATHS_BOOLEAN_VARIABLE,MTBLVR
MATHS_ENUM_LITERAL,MTENLT
MATHS_FUNCTION,MTH0
MATHS_INTEGER_VARIABLE,MTINVR
MATHS_REAL_VARIABLE,MTRLVR
MATHS_SPACE,MTH1
MATHS_STRING_VARIABLE,MTSTVR
MATHS_TUPLE_LITERAL,MTTPLT
MATHS_VALUE_PRECISION_QUALIFIER,MVPQ
MATHS_VARIABLE,MTHVRB
MAXIMUM_FUNCTION,MXMFNC
MEASURE_QUALIFICATION,MSRQLF
MEASURE_REPRESENTATION_ITEM,MSRPIT
MEASURE_WITH_UNIT,MSWTUN
MECHANICAL_DESIGN_AND_DRAUGHTING_RELATIONSHIP,MDADR
MECHANICAL_DESIGN_GEOMETRIC_PRESENTATION_AREA,MDGPA
MECHANICAL_DESIGN_GEOMETRIC_PRESENTATION_REPRESENTATION,MDGPR
MECHANICAL_DESIGN_PRESENTATION_REPRESENTATION_WITH_DRAUGHTING,MDPRWD
MECHANICAL_DESIGN_REQUIREMENT_ITEM_ASSOCIATION,MDRIA
MECHANICAL_DESIGN_SHADED_PRESENTATION_AREA,MDSPA
MECHANICAL_DESIGN_SHADED_PRESENTATION_REPRESENTATION,MDSPR
MECHANISM_REPRESENTATION,MCHRPR
MECHANISM_STATE_REPRESENTATION,MCSTRP
MILLING_TYPE_OPERATION,MLTYOP
MILLING_TYPE_STRATEGY,MLTYST
MINIMUM_FUNCTION,MNMFNC
MINUS_EXPRESSION,MNSEXP
MINUS_FUNCTION,MNSFNC
MOD_EXPRESSION,MDEXP
MODEL_GEOMETRIC_VIEW,MDGMVW
MODIFIED_GEOMETRIC_TOLERANCE,MDGMTL
MODIFIED_PATTERN,MDFPTT
MULT_EXPRESSION,MLTEXP
MULTI_LANGUAGE_ATTRIBUTE_ASSIGNMENT,MLAA
MULTI_LEVEL_REFERENCE_DESIGNATOR,MLRD
MULTIPLE_ARITY_BOOLEAN_EXPRESSION,MABE
MULTIPLE_ARITY_FUNCTION_CALL,MAFC
MULTIPLE_ARITY_GENERIC_EXPRESSION,MAGE
MULTIPLE_ARITY_NUMERIC_EXPRESSION,MANE
NAME_ASSIGNMENT,NMASS
NAME_ATTRIBUTE,NMATT
NAMED_UNIT,NMDUNT
NEXT_ASSEMBLY_USAGE_OCCURRENCE,NAUO
NGON_CLOSED_PROFILE,NGCLPR
NGON_SHAPE_REPRESENTATION,NGSHRP
NON_MANIFOLD_SURFACE_SHAPE_REPRESENTATION,NMSSR
NON_UNIFORM_ZONE_DEFINITION,NUZD
NOT_EXPRESSION,NTEXP
NULL_REPRESENTATION_ITEM,NLRPIT
NUMERIC_DEFINED_FUNCTION,NMDFFN
NUMERIC_EXPRESSION,NMREXP
NUMERIC_VARIABLE,NMRVRB
OBJECT_ROLE,OBJRL
ODD_FUNCTION,ODDFNC
OFFSET_CURVE_2D,OFCR2D
OFFSET_CURVE_3D,OFCR3D
OFFSET_SURFACE,OFFSRF
ONE_DIRECTION_REPEAT_FACTOR,ODRF
OPEN_PATH,OPNPTH
OPEN_PATH_PROFILE,OPPTPR
OPEN_SHELL,OPNSHL
OR_EXPRESSION,OREXP
ORDINAL_DATE,ORDDT
ORDINATE_DIMENSION,ORDDMN
ORGANIZATION,ORGNZT
ORGANIZATION_ASSIGNMENT,ORGASS
ORGANIZATION_RELATIONSHIP,ORGRLT
ORGANIZATION_ROLE,ORGRL
ORGANIZATIONAL_ADDRESS,ORGADD
ORGANIZATIONAL_PROJECT,ORGPRJ
ORGANIZATIONAL_PROJECT_ASSIGNMENT,ORPRAS
ORGANIZATIONAL_PROJECT_RELATIONSHIP,ORP0
ORGANIZATIONAL_PROJECT_ROLE,ORPRRL
ORIENTED_CLOSED_SHELL,ORCLSH
ORIENTED_EDGE,ORNEDG
ORIENTED_FACE,ORNFC
ORIENTED_JOINT,ORNJNT
ORIENTED_OPEN_SHELL,OROPSH
ORIENTED_PATH,ORNPTH
ORIENTED_SURFACE,ORNSRF
ORIENTED_TOLERANCE_ZONE,ORTLZN
OUTER_BOUNDARY_CURVE,OTBNCR
OUTER_ROUND,OTRRND
OUTSIDE_PROFILE,OTSPRF
OVER_RIDING_STYLED_ITEM,ORSI
PACKAGE_PRODUCT_CONCEPT_FEATURE,PPCF
PAIR_REPRESENTATION_RELATIONSHIP,PRR0
PAIR_VALUE,PRVL
PARABOLA,PRBL
PARALLEL_COMPOSED_FUNCTION,PRCMFN
PARALLEL_OFFSET,PRLOFF
PARALLELISM_TOLERANCE,PRLTLR
PARAMETRIC_REPRESENTATION_CONTEXT,PRRPCN
PARTIAL_CIRCULAR_PROFILE,PRCRPR
PARTIAL_DERIVATIVE_EXPRESSION,PRDREX
PARTIAL_DERIVATIVE_FUNCTION,PRDRFN
PARTIAL_DOCUMENT_WITH_STRUCTURED_TEXT_REPRESENTATION_ASSIGNMENT,PDWSTR
PATH,PATH
PATH_FEATURE_COMPONENT,PTFTCM
PATH_NODE,PTHND
PATH_PARAMETER_REPRESENTATION,PTPRRP
PATH_PARAMETER_REPRESENTATION_CONTEXT,PPRC
PATH_SHAPE_REPRESENTATION,PTSHRP
PATTERN_OFFSET_MEMBERSHIP,PTOFMM
PATTERN_OMIT_MEMBERSHIP,PTOMMM
PCURVE,PCURVE
PERPENDICULAR_TO,PRPT
PERPENDICULARITY_TOLERANCE,PRPTLR
PERSON,PERSON
PERSON_AND_ORGANIZATION,PRANOR
PERSON_AND_ORGANIZATION_ADDRESS,PAO0
PERSON_AND_ORGANIZATION_ASSIGNMENT,PAOA
PERSON_AND_ORGANIZATION_ROLE,PAOR
PERSONAL_ADDRESS,PRSADD
PHYSICAL_BREAKDOWN_CONTEXT,PHBRCN
PHYSICAL_ELEMENT_USAGE,PHELUS
PLACED_DATUM_TARGET_FEATURE,PDT0
PLACED_FEATURE,PLCFTR
PLACEMENT,PLCMNT
PLANAR_BOX,PLNBX
PLANAR_CURVE_PAIR,PLCRPR
PLANAR_CURVE_PAIR_RANGE,PCPR
PLANAR_EXTENT,PLNEXT
PLANAR_PAIR,PLNPR
PLANAR_PAIR_VALUE,PLPRVL
PLANAR_PAIR_WITH_RANGE,PPWR
PLANAR_SHAPE_REPRESENTATION,PLSHRP
PLANE,PLANE
PLANE_ANGLE_MEASURE_WITH_UNIT,PAMWU
PLANE_ANGLE_UNIT,PLANUN
PLANE_MILLING_OPERATION,PLMLOP
PLUS_EXPRESSION,PLSEXP
PLUS_MINUS_TOLERANCE,PLMNTL
PMI_REQUIREMENT_ITEM_ASSOCIATION,PRIA
POCKET,POCKET
POCKET_BOTTOM,PCKBTT
POINT,POINT
POINT_CLOUD_DATASET,PNCLDT
POINT_CLOUD_DATASET_WITH_COLOURS,PCDWC
POINT_CLOUD_DATASET_WITH_INTENSITIES,PCDWI
POINT_CLOUD_DATASET_WITH_NORMALS,PCDWN
POINT_CLOUD_SUPERDATASET,PNCLSP
POINT_IN_VOLUME,PNINVL
POINT_ON_CURVE,PNONCR
POINT_ON_PLANAR_CURVE_PAIR,POPCP
POINT_ON_PLANAR_CURVE_PAIR_VALUE,POPCPV
POINT_ON_PLANAR_CURVE_PAIR_WITH_RANGE,POPCPW
POINT_ON_SURFACE,PNONSR
POINT_ON_SURFACE_PAIR,POSP
POINT_ON_SURFACE_PAIR_VALUE,POSPV
POINT_ON_SURFACE_PAIR_WITH_RANGE,POSPWR
POINT_REPLICA,PNTRPL
POINT_STYLE,PNTSTY
POINT_TO_POINT_PATH,PTPP
POLAR_COMPLEX_NUMBER_REGION,PCNR
POLAR_POINT,PLRPNT
POLY_LOOP,PLYLP
POLYLINE,PLYLN
POSITION_TOLERANCE,PSTTLR
POSITIVE_LENGTH_MEASURE_WITH_UNIT,PLMWU
POSITIVE_PLANE_ANGLE_MEASURE_WITH_UNIT,PPAMWU
POWER_EXPRESSION,PWREXP
POWER_MEASURE_WITH_UNIT,PMWU
POWER_UNIT,PWRUNT
PRE_DEFINED_CHARACTER_GLYPH,PDCG
PRE_DEFINED_COLOUR,PRDFCL
PRE_DEFINED_CURVE_FONT,PDCF
PRE_DEFINED_DIMENSION_SYMBOL,PDDS
PRE_DEFINED_GEOMETRICAL_TOLERANCE_SYMBOL,PDGTS
PRE_DEFINED_ITEM,PRDFIT
PRE_DEFINED_MARKER,PRDFMR
PRE_DEFINED_POINT_MARKER_SYMBOL,PDPMS
PRE_DEFINED_SURFACE_CONDITION_SYMBOL,PDSCS
PRE_DEFINED_SURFACE_SIDE_STYLE,PDSSS
PRE_DEFINED_SYMBOL,PRDFSY
PRE_DEFINED_TERMINATOR_SYMBOL,PDT
PRE_DEFINED_TEXT_FONT,PDTF
PRE_DEFINED_TILE,PRDFTL
PRECISION_QUALIFIER,PRCQLF
PRESCRIBED_PATH,PRSPTH
PRESENTATION_AREA,PRSAR
PRESENTATION_LAYER_ASSIGNMENT,PRLYAS
PRESENTATION_REPRESENTATION,PRSRPR
PRESENTATION_SET,PRSST
PRESENTATION_SIZE,PRSSZ
PRESENTATION_STYLE_ASSIGNMENT,PRSTAS
PRESENTATION_STYLE_BY_CONTEXT,PSBC
PRESENTATION_VIEW,PRSVW
PRESENTED_ITEM,PRSITM
PRESENTED_ITEM_REPRESENTATION,PRITRP
PRESSURE_MEASURE_WITH_UNIT,PMW0
PRESSURE_UNIT,PRSUNT
PRISMATIC_PAIR,PRSPR
PRISMATIC_PAIR_VALUE,PRPRVL
PRISMATIC_PAIR_WITH_RANGE,PPW0
PROCESS_OPERATION,PRCOPR
PROCESS_PLAN,PRCPLN
PROCESS_PRODUCT_ASSOCIATION,PRPRAS
PROCESS_PROPERTY_ASSOCIATION,PRPRS
PRODUCT,PRDCT
PRODUCT_AS_PLANNED,PRASPL
PRODUCT_CATEGORY,PRDCTG
PRODUCT_CATEGORY_RELATIONSHIP,PRCTRL
PRODUCT_CLASS,PRDCLS
PRODUCT_CONCEPT,PRDCNC
PRODUCT_CONCEPT_CONTEXT,PRCNCN
PRODUCT_CONCEPT_FEATURE,PRCNFT
PRODUCT_CONCEPT_FEATURE_ASSOCIATION,PCFA
PRODUCT_CONCEPT_FEATURE_CATEGORY,PCF0
PRODUCT_CONCEPT_FEATURE_CATEGORY_USAGE,PCFCU
PRODUCT_CONCEPT_RELATIONSHIP,PRCNRL
PRODUCT_CONTEXT,PRDCNT
PRODUCT_DEFINITION,PRDDFN
PRODUCT_DEFINITION_CONTEXT,PRDFCN
PRODUCT_DEFINITION_CONTEXT_ASSOCIATION,PDCA
PRODUCT_DEFINITION_CONTEXT_ROLE,PDCR
PRODUCT_DEFINITION_EFFECTIVITY,PRDFEF
PRODUCT_DEFINITION_ELEMENT_RELATIONSHIP,PDER
PRODUCT_DEFINITION_FORMATION,PRDFFR
PRODUCT_DEFINITION_FORMATION_RELATIONSHIP,PDFR
PRODUCT_DEFINITION_FORMATION_RESOURCE,PDF0
PRODUCT_DEFINITION_FORMATION_WITH_SPECIFIED_SOURCE,PDFWSS
PRODUCT_DEFINITION_GROUP_ASSIGNMENT,PDGA
PRODUCT_DEFINITION_KINEMATICS,PRDFKN
PRODUCT_DEFINITION_OCCURRENCE,PRDFOC
PRODUCT_DEFINITION_OCCURRENCE_REFERENCE,PDO0
PRODUCT_DEFINITION_OCCURRENCE_REFERENCE_WITH_LOCAL_REPRESENTATION,PDORWL
PRODUCT_DEFINITION_OCCURRENCE_RELATIONSHIP,PDOR
PRODUCT_DEFINITION_PROCESS,PRDFPR
PRODUCT_DEFINITION_REFERENCE,PRDFRF
PRODUCT_DEFINITION_REFERENCE_WITH_LOCAL_REPRESENTATION,PDRWLR
PRODUCT_DEFINITION_RELATIONSHIP,PRDFRL
PRODUCT_DEFINITION_RELATIONSHIP_KINEMATICS,PDRK
PRODUCT_DEFINITION_RESOURCE,PRDFRS
PRODUCT_DEFINITION_SHAPE,PRDFSH
PRODUCT_DEFINITION_SPECIFIED_OCCURRENCE,PDSO
PRODUCT_DEFINITION_SUBSTITUTE,PRDFSB
PRODUCT_DEFINITION_USAGE,PRDFUS
PRODUCT_DEFINITION_WITH_ASSOCIATED_DOCUMENTS,PDWAD
PRODUCT_DESIGN_TO_INDIVIDUAL,PDTI
PRODUCT_DESIGN_VERSION_TO_INDIVIDUAL,PDVTI
PRODUCT_IDENTIFICATION,PRDIDN
PRODUCT_PLANNED_TO_REALIZED,PPTR
PRODUCT_PROCESS_PLAN,PRPRPL
PRODUCT_RELATED_PRODUCT_CATEGORY,PRPC
PRODUCT_RELATIONSHIP,PRDRLT
PRODUCT_RESOURCE,PRDRSR
PRODUCT_SPECIFICATION,PRDSPC
PROFILE_FLOOR,PRFFLR
PROJECTED_ZONE_DEFINITION,PRZNDF
PROJECTED_ZONE_DEFINITION_WITH_OFFSET,PZDWO
PROJECTION_CURVE,PRJCRV
PROJECTION_DIRECTED_CALLOUT,PRDRCL
PROMISSORY_USAGE_OCCURRENCE,PRUSOC
PROPERTY_DEFINITION,PRPDFN
PROPERTY_DEFINITION_RELATIONSHIP,PRDFR
PROPERTY_DEFINITION_REPRESENTATION,PRDFRP
PROPERTY_PROCESS,PRPPRC
PROTRUSION,PRTRSN
PYRAMID_VOLUME,PYRVLM
